date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description,jj_type,cbix1/2,folder_uuid,cell_uuid,cell_line_uuid,disease_uuid,experiment_uuid,gene_uuid,institute_uuid,lab_uuid,organism_uuid,researcher_uuid,seqcompany_uuid,study_uuid,tissue_uuid,treatment_uuid,cell_name,cell_id_uberon,cell_line_name,age,sex,population,biopsy_source,category,sub_category,transformant,morphology,product_format,storage_conditions,imsrjax_id,cellosaurus_id,atcc_id,coriell_id,disease_category,disease_name,disease_symbol,disease_id_ncit,experiment_name,experiment_symbol,subtype,experiment_category_uuid,gene_id_hgnc,gene_id_ncbi,gene_name,gene_symbol,institute_name,lab_name,organism_name,latin_name,taxonomy_id_ncbi,researcher_name,institute,lab,seqcompany_name,study_name,tissue_name,tissue_id_bto,tissue_id_uberon,treatment_name,treatment_symbol
2022-02-24,../../mnt/data/research_data/2022-02-24_25_bis_amplicon_cori_op1,2022-02-24_25_bis_amplicon_cori_op1,_25_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,10153b01-2219-4790-ba71-c90f28fc9c6f,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,4cc247bc-1b1c-4d56-be0a-ee4276764ec9,,dec9a0c6-e6ac-4c73-a438-e07d2f8e3884,80d178d2-1f0d-4445-a0af-792f38af3b5a,,587774c3-fa9f-45c0-9a93-7594676fdff7,c79b1ac6-6d72-4abc-9ade-e017ccf61eb8,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,Camden Opioid Research Initiative (CORI),,Human,Homo sapiens,9606,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,Optimizing Pain Treatment In New Jersey (OPTIN) Study,Saliva,BTO_0001202,UBERON_0001836,,
2022-02-24,../../mnt/data/research_data/2022-02-24_25_bis_amplicon_cori_op1,2022-02-24_25_bis_amplicon_cori_op1,_25_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,10153b01-2219-4790-ba71-c90f28fc9c6f,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,4cc247bc-1b1c-4d56-be0a-ee4276764ec9,,dec9a0c6-e6ac-4c73-a438-e07d2f8e3884,80d178d2-1f0d-4445-a0af-792f38af3b5a,,39beeead-8a45-4763-bdf2-476a180c4d09,c79b1ac6-6d72-4abc-9ade-e017ccf61eb8,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,Camden Opioid Research Initiative (CORI),,Human,Homo sapiens,9606,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Saliva,BTO_0001202,UBERON_0001836,,
2022-02-24,../../mnt/data/research_data/2022-02-24_25_bis_amplicon_cori_op1,2022-02-24_25_bis_amplicon_cori_op1,_25_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,10153b01-2219-4790-ba71-c90f28fc9c6f,,,,e48a7c09-2527-455a-aab8-0c7f7c00539d,,4cc247bc-1b1c-4d56-be0a-ee4276764ec9,,dec9a0c6-e6ac-4c73-a438-e07d2f8e3884,80d178d2-1f0d-4445-a0af-792f38af3b5a,,587774c3-fa9f-45c0-9a93-7594676fdff7,c79b1ac6-6d72-4abc-9ade-e017ccf61eb8,,,,,,,,,,,,,,,,,,,,,,,Bisulfite Amplicon Sequencing (BSAS),BSAS,,d5231339-777e-4ca9-9de7-29aa7266cb0f,,,,,Camden Opioid Research Initiative (CORI),,Human,Homo sapiens,9606,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,Optimizing Pain Treatment In New Jersey (OPTIN) Study,Saliva,BTO_0001202,UBERON_0001836,,
2022-02-24,../../mnt/data/research_data/2022-02-24_25_bis_amplicon_cori_op1,2022-02-24_25_bis_amplicon_cori_op1,_25_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,10153b01-2219-4790-ba71-c90f28fc9c6f,,,,e48a7c09-2527-455a-aab8-0c7f7c00539d,,4cc247bc-1b1c-4d56-be0a-ee4276764ec9,,dec9a0c6-e6ac-4c73-a438-e07d2f8e3884,80d178d2-1f0d-4445-a0af-792f38af3b5a,,39beeead-8a45-4763-bdf2-476a180c4d09,c79b1ac6-6d72-4abc-9ade-e017ccf61eb8,,,,,,,,,,,,,,,,,,,,,,,Bisulfite Amplicon Sequencing (BSAS),BSAS,,d5231339-777e-4ca9-9de7-29aa7266cb0f,,,,,Camden Opioid Research Initiative (CORI),,Human,Homo sapiens,9606,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Saliva,BTO_0001202,UBERON_0001836,,
2023-01-20,../../mnt/data/research_data/2023-01-20_sc_rnaseq_mouse_intestine_miseq,2023-01-20_sc_rnaseq_mouse_intestine_miseq,_sc_rnaseq_mouse_intestine_miseq,himani mouse intestine,Himani mouse intestine,scRNA-seq,CBIX,207027b0-0f7f-4b0c-b2d9-095d492d1cf1,,,,34cdc9db-aef8-4a85-b620-e7ddf926d446,,,,00545a01-4032-4713-ab5f-2a4414d3d130,f37686a5-7ce9-42b0-8afd-dceff66be278,c72f1128-4104-4434-91bf-81cd04381a07,,710cb968-9245-4b74-bcf2-7b694e4a8f7b,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,,6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,,,Mouse,Mus musculus,1758,Himani Vaidya,Coriell,The Issa & Jelenik Lab,Illumina,,Intestine,BTO_0000648,UBERON_0000160,,
2023-01-20,../../mnt/data/research_data/2023-01-20_sc_rnaseq_mouse_intestine_miseq,2023-01-20_sc_rnaseq_mouse_intestine_miseq,_sc_rnaseq_mouse_intestine_miseq,himani mouse intestine,Himani mouse intestine,scRNA-seq,CBIX,207027b0-0f7f-4b0c-b2d9-095d492d1cf1,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,,,00545a01-4032-4713-ab5f-2a4414d3d130,f37686a5-7ce9-42b0-8afd-dceff66be278,c72f1128-4104-4434-91bf-81cd04381a07,,710cb968-9245-4b74-bcf2-7b694e4a8f7b,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,,,Mouse,Mus musculus,1758,Himani Vaidya,Coriell,The Issa & Jelenik Lab,Illumina,,Intestine,BTO_0000648,UBERON_0000160,,
2023-06-09,../../mnt/data/research_data/2023-06-09_rnaseq_human_shoghag,2023-06-09_rnaseq_human_shoghag,_rnaseq_human_shoghag,,,,CBIX,963ddfb3-20cd-42c8-9136-30cf2db162c8,,,,34cdc9db-aef8-4a85-b620-e7ddf926d446,,,,dec9a0c6-e6ac-4c73-a438-e07d2f8e3884,9eafed0a-6d34-4c05-9003-82dcb69ffe6a,,,,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,,6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,,,Human,Homo sapiens,9606,Shoghag Panjarian,Coriell,The Issa & Jelenik Lab,,,,,,,
2023-06-09,../../mnt/data/research_data/2023-06-09_rnaseq_human_shoghag,2023-06-09_rnaseq_human_shoghag,_rnaseq_human_shoghag,,,,CBIX,963ddfb3-20cd-42c8-9136-30cf2db162c8,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,,,dec9a0c6-e6ac-4c73-a438-e07d2f8e3884,9eafed0a-6d34-4c05-9003-82dcb69ffe6a,,,,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,,,Human,Homo sapiens,9606,Shoghag Panjarian,Coriell,The Issa & Jelenik Lab,,,,,,,
2020-06-24,../../mnt/data/research_data/2020-06-24_rnaseq_mouse_hyeseon,2020-06-24_rnaseq_mouse_hyeseon,_rnaseq_mouse_hyeseon,hyeseon mouse aorta endothelial cells young old,HyeSeon mouse aorta endothelial cells young old,RNA-seq,CBIX,3273cafc-fcfe-4b6c-b238-be50861adfff,24a9175f-dd8b-4801-ad8f-fd10925c5992,,,34cdc9db-aef8-4a85-b620-e7ddf926d446,,,,00545a01-4032-4713-ab5f-2a4414d3d130,7201b895-0ffb-4878-8541-c3d18d41fe42,,,c37d70f8-983b-4653-b904-112e38ec4c9c,,Endothelial Cells,CL_0000115,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,,6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,,,Mouse,Mus musculus,1758,HyeSeon,,,,,Aorta,BTO_0000135,UBERON_0000947,,
2020-06-24,../../mnt/data/research_data/2020-06-24_rnaseq_mouse_hyeseon,2020-06-24_rnaseq_mouse_hyeseon,_rnaseq_mouse_hyeseon,hyeseon mouse aorta endothelial cells young old,HyeSeon mouse aorta endothelial cells young old,RNA-seq,CBIX,3273cafc-fcfe-4b6c-b238-be50861adfff,24a9175f-dd8b-4801-ad8f-fd10925c5992,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,,,00545a01-4032-4713-ab5f-2a4414d3d130,7201b895-0ffb-4878-8541-c3d18d41fe42,,,c37d70f8-983b-4653-b904-112e38ec4c9c,,Endothelial Cells,CL_0000115,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,,,Mouse,Mus musculus,1758,HyeSeon,,,,,Aorta,BTO_0000135,UBERON_0000947,,
2019-06-06,../../mnt/data/research_data/2019-06-06_CutRun_Som,2019-06-06_CutRun_Som,_cutrun_som,"som brg, k9me3, cdk9, k9me3","Som BRG, K9me3, CDK9, K9me3",Cut&Run,CBIX,20e376b1-76c0-485a-ac9f-6d24bc876578,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,5ac36549-367e-495b-98fd-6b97a68bbb53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,1780,1025,Cyclin-Dependent Kinase 9 (CDK9),CDK9,,,,,,,,,,,,,,,
2019-06-06,../../mnt/data/research_data/2019-06-06_CutRun_Som,2019-06-06_CutRun_Som,_cutrun_som,"som brg, k9me3, cdk9, k9me3","Som BRG, K9me3, CDK9, K9me3",Cut&Run,CBIX,20e376b1-76c0-485a-ac9f-6d24bc876578,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,0bf7f42b-6670-4f1d-a797-5c2e92da182f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,Histone 3 (K9me3) Bivalent Methylation Factor,K9me3,,,,,,,,,,,,,,,
2019-06-06,../../mnt/data/research_data/2019-06-06_CutRun_Som,2019-06-06_CutRun_Som,_cutrun_som,"som brg, k9me3, cdk9, k9me3","Som BRG, K9me3, CDK9, K9me3",Cut&Run,CBIX,20e376b1-76c0-485a-ac9f-6d24bc876578,,,,af89eb49-c558-4b09-9b01-068816d4de1d,5ac36549-367e-495b-98fd-6b97a68bbb53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUT&RUN,CUT&RUN,,824a1fda-d3fa-408f-a436-dc3bcb03cb1a,1780,1025,Cyclin-Dependent Kinase 9 (CDK9),CDK9,,,,,,,,,,,,,,,
2019-06-06,../../mnt/data/research_data/2019-06-06_CutRun_Som,2019-06-06_CutRun_Som,_cutrun_som,"som brg, k9me3, cdk9, k9me3","Som BRG, K9me3, CDK9, K9me3",Cut&Run,CBIX,20e376b1-76c0-485a-ac9f-6d24bc876578,,,,af89eb49-c558-4b09-9b01-068816d4de1d,0bf7f42b-6670-4f1d-a797-5c2e92da182f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUT&RUN,CUT&RUN,,824a1fda-d3fa-408f-a436-dc3bcb03cb1a,,,Histone 3 (K9me3) Bivalent Methylation Factor,K9me3,,,,,,,,,,,,,,,
2020-07-31,../../mnt/data/research_data/2020-07-31_scRNAseq_10X_jian,2020-07-31_scRNAseq_10X_jian,_scrnaseq_10x_jian,jian huang mouse tet+/- evi+/-,Jian Huang mouse TET+/- EVI+/-,scRNA-seq,CBIX,c9bf32ae-6e46-4e49-b294-081affcebb84,,,,34cdc9db-aef8-4a85-b620-e7ddf926d446,f58f104e-f26b-4248-85cc-74feaffb4870,,0537c0d0-11b7-495b-adb7-6055fb2406d0,00545a01-4032-4713-ab5f-2a4414d3d130,c33ad213-b36f-4c24-acc6-cebf1def6db0,9a26cab9-29bb-4953-883b-c44b38b7e538,,,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,,6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,Ecotropic Viral Integration (EVI),EVI,,The Jian Huang Lab,Mouse,Mus musculus,1758,Jian Huang,Coriell,The Jian Huang Lab,10x,,,,,,
2020-07-31,../../mnt/data/research_data/2020-07-31_scRNAseq_10X_jian,2020-07-31_scRNAseq_10X_jian,_scrnaseq_10x_jian,jian huang mouse tet+/- evi+/-,Jian Huang mouse TET+/- EVI+/-,scRNA-seq,CBIX,c9bf32ae-6e46-4e49-b294-081affcebb84,,,,34cdc9db-aef8-4a85-b620-e7ddf926d446,916ed5a1-86d8-4b6b-86a9-cc6f47c1a4ab,,0537c0d0-11b7-495b-adb7-6055fb2406d0,00545a01-4032-4713-ab5f-2a4414d3d130,c33ad213-b36f-4c24-acc6-cebf1def6db0,9a26cab9-29bb-4953-883b-c44b38b7e538,,,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,,6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,Ten Eleven Translocation (TET),TET,,The Jian Huang Lab,Mouse,Mus musculus,1758,Jian Huang,Coriell,The Jian Huang Lab,10x,,,,,,
2020-07-31,../../mnt/data/research_data/2020-07-31_scRNAseq_10X_jian,2020-07-31_scRNAseq_10X_jian,_scrnaseq_10x_jian,jian huang mouse tet+/- evi+/-,Jian Huang mouse TET+/- EVI+/-,scRNA-seq,CBIX,c9bf32ae-6e46-4e49-b294-081affcebb84,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,f58f104e-f26b-4248-85cc-74feaffb4870,,0537c0d0-11b7-495b-adb7-6055fb2406d0,00545a01-4032-4713-ab5f-2a4414d3d130,c33ad213-b36f-4c24-acc6-cebf1def6db0,9a26cab9-29bb-4953-883b-c44b38b7e538,,,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,Ecotropic Viral Integration (EVI),EVI,,The Jian Huang Lab,Mouse,Mus musculus,1758,Jian Huang,Coriell,The Jian Huang Lab,10x,,,,,,
2020-07-31,../../mnt/data/research_data/2020-07-31_scRNAseq_10X_jian,2020-07-31_scRNAseq_10X_jian,_scrnaseq_10x_jian,jian huang mouse tet+/- evi+/-,Jian Huang mouse TET+/- EVI+/-,scRNA-seq,CBIX,c9bf32ae-6e46-4e49-b294-081affcebb84,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,916ed5a1-86d8-4b6b-86a9-cc6f47c1a4ab,,0537c0d0-11b7-495b-adb7-6055fb2406d0,00545a01-4032-4713-ab5f-2a4414d3d130,c33ad213-b36f-4c24-acc6-cebf1def6db0,9a26cab9-29bb-4953-883b-c44b38b7e538,,,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,Ten Eleven Translocation (TET),TET,,The Jian Huang Lab,Mouse,Mus musculus,1758,Jian Huang,Coriell,The Jian Huang Lab,10x,,,,,,
2023-01-18,../../mnt/data/research_data/2023-01-18_bisamp_colon_tumors_peace,2023-01-18_bisamp_colon_tumors_peace,_bisamp_colon_tumors_peace,peace colon tumors,Peace colon tumors,bisamp,CBIX,ef31859f-163a-4039-82f7-6afd946c0f1d,,,6dd18eb5-7670-4166-aaff-c5d86908b66e,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,,,,e52ad199-6fb4-43b1-9a21-8950afb782b6,,,3c29f4bb-0344-4ac2-a047-0b40fc2c964c,,,,,,,,,,,,,,,,,,,Cancer,Colon adenocarcinoma,,C4349,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,,,,,,Peace Park,Coriell,The Issa & Jelenik Lab,,,Colon,TO_0000269,UBERON_0001155,,
2023-01-18,../../mnt/data/research_data/2023-01-18_bisamp_colon_tumors_peace,2023-01-18_bisamp_colon_tumors_peace,_bisamp_colon_tumors_peace,peace colon tumors,Peace colon tumors,bisamp,CBIX,ef31859f-163a-4039-82f7-6afd946c0f1d,,,6dd18eb5-7670-4166-aaff-c5d86908b66e,e48a7c09-2527-455a-aab8-0c7f7c00539d,,,,,e52ad199-6fb4-43b1-9a21-8950afb782b6,,,3c29f4bb-0344-4ac2-a047-0b40fc2c964c,,,,,,,,,,,,,,,,,,,Cancer,Colon adenocarcinoma,,C4349,Bisulfite Amplicon Sequencing (BSAS),BSAS,,d5231339-777e-4ca9-9de7-29aa7266cb0f,,,,,,,,,,Peace Park,Coriell,The Issa & Jelenik Lab,,,Colon,TO_0000269,UBERON_0001155,,
