date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description,jj_type,cbix1/2,disease_category,disease_category_jj,partner,study,experiment,organism,tissue,cell_type,sample,disease,cell_line,gene/protein,treatment,lab,employee,company,.zip_counts,.json_counts,.bam_counts,.tsv_counts,.csv_counts,.gz_counts,.txt_counts
2022-02-10,../../mnt/data/research_data/2022-02-10_hek_scrna_miseq_nano,2022-02-10_hek_scrna_miseq_nano,____nano,  chromium test,JJ 10X Chromium test,scRNA-seq,CBIX,,,,,"MiSeq Nano,Single Cell RNA-Seq (scRNA-seq),MiSeq",Human,,Human Embryonic Kidney (HEK),,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,10x,4,0,0,0,0,4,0
2023-05-25,../../mnt/data/research_data/2023-05-25_bisamp_x15_leukemia,2023-05-25_bisamp_x15_leukemia,__x15_,,,,CBIX,Cancer,,,,Bisulfite Amplicon (BSAS),,,,,Leukemia,,,,,,,384,1,96,393,1,1152,480
2024-03-19,../../mnt/data/research_data/2024-03-19_rrbs_mouse_peace,2024-03-19_rrbs_mouse_peace,___,,,,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,,,,,,,,The Issa & Jelenik Lab,Peace Park,,1,0,0,1,0,44,23
2022-04-11,../../mnt/data/research_data/2022-04-11_10XsnRNAseq_mouse_brain,2022-04-11_10XsnRNAseq_mouse_brain,_sn__,  frozen ,JJ mouse frozen brain,scRNA-seq,CBIX,,,,,"Single Cell RNA-Seq (scRNA-seq),RNA-seq,Single Nucleus RNA-Seq (snRNA-seq)",Mouse,Brain,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,10x,0,0,0,0,1,4,0
2022-05-03,../../mnt/data/research_data/2022-05-03_mouse_brain_snRNAseq,2022-05-03_mouse_brain_snRNAseq,___sn,  frozen ,JJ mouse frozen brain,scRNA-seq,CBIX,,,,,"Single Cell RNA-Seq (scRNA-seq),RNA-seq,Single Nucleus RNA-Seq (snRNA-seq)",Mouse,Brain,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,2,0,0,0,0,4,3
2023-01-10,../../mnt/data/research_data/2023-01-10_rnaseq_human_jian2,2023-01-10_rnaseq_human_jian2,___2, huangko ko ,Jian Huang WT SPRY3KO SPRY4KO Gilterinib,RNA-seq,CBIX,,,,,RNA-seq,Human,,,Wild-type (WT),,,"Sprouty RTK Signaling Antagonist 4 (SPRY4),Sprouty RTK Signaling Antagonist 3 (SPRY3)",Gilterinib,The Jian Huang Lab,Jian Huang,,0,0,0,0,0,24,1
2021-08-26,../../mnt/data/research_data/2021-08-26_novaseq_rrbs_mouse_peace_himani,2021-08-26_novaseq_rrbs_mouse_peace_himani,_novaseq____,  gf ,Peace mouse gf aging,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,,,,Aging,,,,The Issa & Jelenik Lab,"Peace Park,Himani Vaidya",,282,0,70,0,0,861,434
2022-05-11,../../mnt/data/research_data/2022-05-11_rrbs_129svev_aging_bac_mouse_colon_peace_miseq_nano,2022-05-11_rrbs_129svev_aging_bac_mouse_colon_peace_miseq_nano,____bac_____nano,   ,Peace aging mouse colon,RRBS,CBIX,,,,,"MiSeq Nano,Reduced-Representation Bisulfite Sequencing (RRBS-seq),MiSeq",Mouse,Colon,,,Aging,129/SvEv,,,The Issa & Jelenik Lab,Peace Park,,0,0,0,0,1,98,0
2023-01-21,../../mnt/data/research_data/2023-01-21_sc_atac_mouse_intestine,2023-01-21_sc_atac_mouse_intestine,___,  ,Himani mouse intestine,scATAC-seq,CBIX,,,,,"Single Cell ATAC-Seq (scATAC-seq),ATAC-seq",Mouse,Intestine,,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,0,4,0,0,5,104,42
2023-05-29,../../mnt/data/research_data/2023-05-29_rnaseq_mouse_intestine_himani,2023-05-29_rnaseq_mouse_intestine_himani,____,,,,CBIX,,,,,RNA-seq,Mouse,Intestine,,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,0,0,0,0,0,46,23
2023-01-19,../../mnt/data/research_data/2023-01-19_crispr_zhaorui_human,2023-01-19_crispr_zhaorui_human,___,   ko,Zhaorui human NALM13 NALM14 wt p53ko,CRISPR,CBIX,,,,,CRISPR,Human,,,Wild-type (WT),,"NALM14,NALM13",Tumor Protein (P53),,The Jian Huang Lab,Zhaorui Lian,,0,1,0,0,1,26,3
2023-02-17,../../mnt/data/research_data/2023-02-17_bisamp_mpb_x15,2023-02-17_bisamp_mpb_x15,__mpb_x15, mpb 15 targets,JJ MPB 15 targets,bisamp,CBIX,,,,,Bisulfite Amplicon (BSAS),,,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,4,1,1,10,1,14,6
2019-06-18,../../mnt/data/research_data/2019-06-18_rrbs37_hyeseon_mouse_endo_kidney,2019-06-18_rrbs37_hyeseon_mouse_endo_kidney,_37____,"  thelial cells, , , old","HyeSeon mouse endothelial cells, kidney, young, old",RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,Kidney,Endothelial Cells,,Aging,,,,,HyeSeon,,40,0,48,0,0,576,174
2020-01-03,../../mnt/data/research_data/2020-01-03_novogene_rrbs_43-45_aging_mouse,2020-01-03_novogene_rrbs_43-45_aging_mouse,___43-45__,      liver lung  ,HyeSeon mouse aging blood heart brain liver lung kidney skeletal muscle,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,"Skeletal Muscle,Brain,Blood,Kidney,Heart",,,Aging,,,,,HyeSeon,Novogene,120,0,60,0,0,606,196
2022-12-05,../../mnt/data/research_data/2022-12-05_bisamp_colon93,2022-12-05_bisamp_colon93,__93, ,Woonbok colon,bisamp,CBIX,,,,,Bisulfite Amplicon (BSAS),,Colon,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,384,1,96,292,1,1152,481
2020-08-22,../../mnt/data/research_data/2020-08-22_human_bisulfite_amplicon_woonbok,2020-08-22_human_bisulfite_amplicon_woonbok,___,   pcr 6 loci,Woonbok NINDS bisulfite amplicon PCR 6 loci,bisamp,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,Bisulfite Amplicon (BSAS),Human,,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,16,0,0,0,0,16,8
2021-08-26,../../mnt/data/research_data/2021-08-26_novaseq_YB5,2021-08-26_novaseq_YB5,_novaseq_, ,JJ YB5,WGS,CBIX,,,,,Whole Genome Sequencing (WGS),Human,,,,,YB5,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,0,0,0,0,0,4,2
2023-03-16,../../mnt/data/research_data/2023-03-16_crispr_clones_jian,2023-03-16_crispr_clones_jian,__clones_,,,,CBIX,,,,,CRISPR,,,,,,,,,The Jian Huang Lab,Jian Huang,,64,0,85,0,1,189,42
2022-04-06,../../mnt/data/research_data/2022-04-06_bis_amplicon_cori_op2,2022-04-06_bis_amplicon_cori_op2,___op2,    ,Woonbok saliva CORI Optin Goals,bisamp,CBIX,Addiction,,Camden Opioid Research Initiative (CORI),"Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Optimizing Pain Treatment In New Jersey (OPTIN) Study",Bisulfite Amplicon (BSAS),Human,Saliva,,,Opioid Use Disorder,,,,The Issa & Jelenik Lab,Woonbok Chung,,576,0,96,290,2,1145,481
2023-05-19,../../mnt/data/research_data/2023-05-19_rrbs_mouse_himani,2023-05-19_rrbs_mouse_himani,___,,,,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,,,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,50,0,0,0,0,50,0
2022-10-11,../../mnt/data/research_data/2022-10-11_RNAseq_YB5_almedia,2022-10-11_RNAseq_YB5_almedia,___almedia,almedia     ,Almedia YB5 dmso dac bsj dbet,RNA-seq,CBIX,,,,,RNA-seq,Human,,,,,YB5,D4Z4 Binding Element Transcript (DBET),"(BSJ),Decitabine (DAC),Dimethyl Sulfoxide (DMSO)",,,,2,0,0,0,0,70,38
2023-06-11,../../mnt/data/research_data/2023-06-11_bis_amplicon_cuh4,2023-06-11_bis_amplicon_cuh4,__cuh4,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,,,,,,,,,,,70,0,18,88,0,216,92
2019-08-29,../../mnt/data/research_data/2019-08-29_dream133_peace_human_crc,2019-08-29_dream133_peace_human_crc,_133___,   s and ,Peace human colon tumors and adjacent normal tissue,DREAM,CBIX,Cancer,,,,DREAM,Human,"Tumor,Colon,Adjacent Normal Tissue",,,Colorectal Cancer,,,,The Issa & Jelenik Lab,Peace Park,,0,0,0,0,1,184,0
2019-10-02,../../mnt/data/research_data/2019-10-02_rrbs35_novogene,2019-10-02_rrbs35_novogene,_35_,    s,Woonbok NINDS aging blood controls,RRBS,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,Reduced-Representation Bisulfite Sequencing (RRBS-seq),,Blood,,Control,Aging,,,,The Issa & Jelenik Lab,Woonbok Chung,Novogene,0,0,0,0,0,24,14
2024-01-02,../../mnt/data/research_data/2024-01-02_multiome_bcl_mouse_himani,2024-01-02_multiome_bcl_mouse_himani,_multiome_bcl__,,,,CBIX,,,,,,Mouse,,,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,4,48,48,39,1208,258,38
2021-07-28,../../mnt/data/research_data/2021-07-28_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,2021-07-28_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,__cr92__norm__e__,  norm  ,Woonbok colon norm tumor saliva,bisamp,CBIX,,,,,Bisulfite Amplicon (BSAS),,"Tumor,Colon,Saliva",,,Aging,,,,The Issa & Jelenik Lab,Woonbok Chung,,592,0,100,295,2,1194,501
2019-07-17,../../mnt/data/research_data/2019-07-17_16S_redownload_peace_colon_cancer,2019-07-17_16S_redownload_peace_colon_cancer,__redownload___,   s and ,Peace human colon tumors and adjacent normal tissue,16S,CBIX,Cancer,,,,16S rRNA,Human,"Tumor,Colon,Adjacent Normal Tissue",,,Cancer,,,,The Issa & Jelenik Lab,Peace Park,,0,0,0,0,0,240,0
2022-11-18,../../mnt/data/research_data/2022-11-18_snATACseq_human_brain,2022-11-18_snATACseq_human_brain,_sn__,  ,JJ human brain,scATAC-seq,CBIX,,,,,"Single Nucleus ATAC-Seq (snATAC-seq),Single Cell ATAC-Seq (scATAC-seq),ATAC-seq",Human,Brain,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,2,0,0,0,0,4,3
Null,../../mnt/data/research_data/230418_M04817_0069_000000000-GGRF5,230418_M04817_0069_000000000-GGRF5,230418_m04817_0069_000000000-ggrf5,,,,CBIX,,,,,,,,,,,,,,,,,0,0,0,2,6,4,159
2019-06-18,../../mnt/data/research_data/2019-06-18_rrbs36_hyeseon_mouse_heart_blood,2019-06-18_rrbs36_hyeseon_mouse_heart_blood,_36____,"  , , , old","HyeSeon mouse heart, blood, young, old",RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,"Heart,Blood",,,Aging,,,,,HyeSeon,,24,0,18,0,0,232,69
2022-05-10,../../mnt/data/research_data/2022-05-10_ying_wang_atacseq,2022-05-10_ying_wang_atacseq,___,yi   ko,Yi Zhang mouse WT ID3 KO,ATAC-seq,CBIX,,,,,ATAC-seq,Mouse,,,"Wild-type (WT),Knock-out (KO)",,,Inhibitor Of DNA Binding 3 (ID3),,The Shumei Song Lab,"Yann/Yi? Zhang,Peng Wang,Ying",,0,0,0,0,0,36,1
2021-04-16,../../mnt/data/research_data/2021-04-16_bis_amplicons_woonbok,2021-04-16_bis_amplicons_woonbok,_s_,  cord ,Woonbok NINDS cord blood,bisamp,CBIX,,,National Institute of Neurological Disorders and Stroke (NINDS),,Bisulfite Amplicon (BSAS),,"Blood,Cord Blood",,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,152,0,26,4,0,308,158
2020-11-18,../../mnt/data/research_data/2020-11-18_hWGS_12878_NA_FFPE_Matt,2020-11-18_hWGS_12878_NA_FFPE_Matt,_h_12878_na__,  gdna and formalin fixed,Matt NA12878 gDNA and formalin fixed,WGS,CBIX,,,,,"Whole Genome Sequencing (WGS),Human Whole Genome Sequencing (hWGS)",Human,Formalin-Fixed or Paraffin-Embedded Tissue (FFPE),,,,NA12878,,,The Issa & Jelenik Lab,Matthew Walt,,17,0,4,0,0,18,13
2023-01-17,../../mnt/data/research_data/2023-01-17_scRNAseq_mouse_jian_novogene,2023-01-17_scRNAseq_mouse_jian_novogene,_sc___, huang     old,Jian Huang mouse HSC MMP young old,scRNA-seq,CBIX,,,,,"Single Cell RNA-Seq (scRNA-seq),RNA-seq",Mouse,,Hematopoietic Stem Cells (HSCs),,Aging,,Matrix metalloproteinases (MMPs),,The Jian Huang Lab,Jian Huang,Novogene,2,0,0,0,0,48,6
2023-12-28,../../mnt/data/research_data/2023-12-28_rnaseq_lcl_bdnf_snv,2023-12-28_rnaseq_lcl_bdnf_snv,____snv,,,,CBIX,,,,,RNA-seq,,,Lymphoblastoid Cell Lines (LCLs),,,,,Brain-Derived Neurotrophic Factor (BDNF),,,,3,0,0,0,0,48,27
2023-03-03,../../mnt/data/research_data/2023-03-03_bisamp_x15_cuh2,2023-03-03_bisamp_x15_cuh2,__x15_cuh2,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,,,,,,,,,,,764,1,191,599,0,2096,955
2022-05-04,../../mnt/data/research_data/2022-05-04_bis_amplicon_cori_op1r2,2022-05-04_bis_amplicon_cori_op1r2,___op1r2,    ,Woonbok saliva CORI Optin Goals,bisamp,CBIX,Addiction,,Camden Opioid Research Initiative (CORI),"Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Optimizing Pain Treatment In New Jersey (OPTIN) Study",Bisulfite Amplicon (BSAS),Human,Saliva,,,Opioid Use Disorder,,,,The Issa & Jelenik Lab,Woonbok Chung,,384,0,96,291,1,1152,481
2020-08-13,../../mnt/data/research_data/2020-08-13_jian_RNAseq_LC-Lumina,2020-08-13_jian_RNAseq_LC-Lumina,___lc-lumina, huang ,Jian Huang mouse,RNA-seq,CBIX,,,,,RNA-seq,Mouse,,,,,,,,The Jian Huang Lab,Jian Huang,,0,0,0,0,0,10,0
2020-03-30,../../mnt/data/research_data/2020-03-30_italo_tempera_lab_rnaseq,2020-03-30_italo_tempera_lab_rnaseq,___, tempera  koac inhibitor sg inhibitor,Italo Tempera human controlkoac inhibitor sg inhibitor,RNA-seq,CBIX,,,,,RNA-seq,Human,,,Control,,,,,Tempera Lab,Italo Tempera,,128,0,0,0,0,128,10
2023-02-07,../../mnt/data/research_data/2023-02-07_bisamp_23targets_cuh,2023-02-07_bisamp_23targets_cuh,__23targets_cuh, 23 targets ,JJ 23 targets Cooper,bisamp,CBIX,,,Cooper,,Bisulfite Amplicon (BSAS),,,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,384,1,96,292,1,1154,480
2023-05-23,../../mnt/data/research_data/2023-05-23_scRNA_multiome_human_brain,2023-05-23_scRNA_multiome_human_brain,__multiome__,,,,CBIX,,,,,Single Cell RNA-Seq (scRNA-seq),Human,Brain,,,,,,,,,,3,0,0,0,0,3,0
2019-10-22,../../mnt/data/research_data/2019-10-22_rrbs_mouse_aging_rrbs41-42_himani_peace_genewiz,2019-10-22_rrbs_mouse_aging_rrbs41-42_himani_peace_genewiz,____41-42___,     liver lung br skm,Himani Peace mouse colon spleen liver lung br skm,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,"Spleen,Colon",,,Aging,,,,The Issa & Jelenik Lab,"Peace Park,Himani Vaidya",GENEWIZ,82,0,42,1,0,551,184
2020-06-12,../../mnt/data/research_data/2020-06-12_rrbs50-51-52_cori_human,2020-06-12_rrbs50-51-52_cori_human,_50-51-52__,    and ,JJ human CORI blood and saliva,RRBS,CBIX,,,Camden Opioid Research Initiative (CORI),,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,"Blood,Saliva",,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,1,0,0,1,0,48,23
2021-02-10,../../mnt/data/research_data/2021-02-10_16S_human_coloncancer_batch2-4_Peace_genewiz,2021-02-10_16S_human_coloncancer_batch2-4_Peace_genewiz,____batch2-4__,   s and ,Peace human colon tumors and adjacent normal tissue,16S,CBIX,Cancer,,,,16S rRNA,Human,"Tumor,Colon,Adjacent Normal Tissue",,,Cancer,,,,The Issa & Jelenik Lab,Peace Park,GENEWIZ,0,0,0,0,0,362,1
2019-03-28,../../mnt/data/research_data/2019-03-28_rrbs32_himani_kit-failure,2019-03-28_rrbs32_himani_kit-failure,_32__kit-failure,   and  samples,Himani mouse intestine and colon samples,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,"Colon,Intestine",,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,18,0,12,0,0,156,49
2020-12-03,../../mnt/data/research_data/2020-12-03_rrbs58-59_woonbok_gu114,2020-12-03_rrbs58-59_woonbok_gu114,_58-59__,  trial  cd8 lymphocytes,Woonbok GU114 trial human CD8 lymphocytes,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Human,,,,,GU114,,,The Issa & Jelenik Lab,Woonbok Chung,,1,0,0,0,0,44,24
2023-05-07,../../mnt/data/research_data/2023-05-07_zhaorui_znf251_ko_gRNA3,2023-05-07_zhaorui_znf251_ko_gRNA3,___ko_3,,,,CBIX,,,,,Guide RNA (gRNA),,,,,,,Zinc Finger Protein 251 (ZNF251),,The Jian Huang Lab,Zhaorui Lian,,16,0,34,2,0,48,23
2019-06-25,../../mnt/data/research_data/2019-06-25_gencove_CORI,2019-06-25_gencove_CORI,__,  samples,Laura CORI samples,low pass WGS,CBIX,,,Camden Opioid Research Initiative (CORI),,Whole Genome Sequencing (WGS),,,,,,,,,The Scheinfeldt Lab,Laura Scheinfeldt,Gencove,30,33,32,0,2,137,2
2022-02-25,../../mnt/data/research_data/2022-02-25_bis_amplicon_cori_op1,2022-02-25_bis_amplicon_cori_op1,___op1,    ,Woonbok saliva CORI Optin Goals,bisamp,CBIX,Addiction,,Camden Opioid Research Initiative (CORI),"Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Optimizing Pain Treatment In New Jersey (OPTIN) Study",Bisulfite Amplicon (BSAS),Human,Saliva,,,Opioid Use Disorder,,,,The Issa & Jelenik Lab,Woonbok Chung,,956,0,191,289,5,1341,766
2019-07-22,../../mnt/data/research_data/2019-07-22_sc_whelan_mouse_esophagus,2019-07-22_sc_whelan_mouse_esophagus,_sc___,kelly   old  ,Kelly Whelan young old mouse esophagus,scRNA-seq,CBIX,,,,,Single Cell RNA-Seq (scRNA-seq),Mouse,Esophagus,,,Aging,,,,,Kelly Whelan,,52,0,0,0,0,52,0
2020-05-07,../../mnt/data/research_data/2020-05-07_sc_10x_yi_zhang,2020-05-07_sc_10x_yi_zhang,_sc__yi_,yi   ikoi ikos wti wts,Yi Zhang mouse IKOI IKOs WTI WTs,scRNA-seq,CBIX,,,,,Single Cell RNA-Seq (scRNA-seq),Mouse,,,Wild-type (WT),,,,,The Shumei Song Lab,Yann/Yi? Zhang,10x,0,0,0,0,0,12,2
2020-03-27,../../mnt/data/research_data/2020-03-27_novogene_dream_human_peace,2020-03-27_novogene_dream_human_peace,____,   s and ,Peace human colon tumors and adjacent normal tissue,DREAM,CBIX,,,,,DREAM,Human,"Tumor,Colon,Adjacent Normal Tissue",,,,,,,The Issa & Jelenik Lab,Peace Park,Novogene,143,0,142,0,4,163,1286
2019-09-06,../../mnt/data/research_data/retrieved_2019-09-06_gm12878_meth,retrieved_2019-09-06_gm12878_meth,retrieved___meth,,,,CBIX,,,,,,Human,,,,,GM12878,,,,,,0,0,0,8,0,788,3
2023-06-27,../../mnt/data/research_data/2023-06-27_cut_run_zhaorui,2023-06-27_cut_run_zhaorui,__,,,,CBIX,,,,,CUT&RUN,,,,,,,,,The Jian Huang Lab,Zhaorui Lian,,32,0,8,0,1,48,16
2021-12-07,../../mnt/data/research_data/2021-12-07_mouse_rrbs_peace,2021-12-07_mouse_rrbs_peace,___,  gf ,Peace mouse gf aging,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,,,,Aging,,,,The Issa & Jelenik Lab,Peace Park,,66,0,16,0,0,196,131
2023-05-18,../../mnt/data/research_data/2023-05-18_crispr3_zhaorui,2023-05-18_crispr3_zhaorui,_3_,,,,CBIX,,,,,CRISPR,,,,,,,,,The Jian Huang Lab,Zhaorui Lian,,0,2,0,0,1,44,7
