date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description_x,jj_type,cbix1/2,folder_uuid,cell_line_uuid,cell_line_name_x,folder_name_x,jj_description_y,disease_uuid,disease_name_x,disease_category_x,disease_symbol_x,disease_id_ncit_x,folder_name_y,jj_description_x,experiment_uuid,gene_uuid,lab_uuid,organism_uuid,organism_name_x,folder_name_x,jj_description_y,partner_uuid,partner_name_x,folder_name_y,jj_description_x,researcher_uuid,seqcompany_uuid,seqcompany_name_x,folder_name_x,jj_description_y,treatment_uuid,treatment_name_x,treatment_symbol_x,folder_name_y,jj_description,search_term_x,cell_line_name_y,organism,Age,Sex,Population,Biopsy Source,Tissue Type,Cell Type,Category,Sub-Category,Transformant,Morphology,Disease Category,Disease,Disease Type,Disease Grade,Disease ID (NCIt),Product Format,Storage Conditions,Sequence Variations?,imsrjax_id,cellosaurus_id,atcc_id,coriell_id,disease_category_y,disease_name_y,disease_symbol_y,disease_id_ncit_y,search_term_y,search_term_x,experiment_name,experiment_symbol,subtype,experiment_category_uuid,search_term_y,gene_id_hgnc,gene_id_ncbi,gene_name,organism_name_y,gene_symbol,search_term_x,lab_name,search_term_y,organism_name,search_term_x,partner_name_y,search_term_y,researcher_name,affiliation,lab,search_term_x,seqcompany_name_y,search_term_y,treatment_name_y,treatment_symbol_y
2022-05-04,../../mnt/data/research_data/2022-05-04_bis_amplicon_cori_op1r2,2022-05-04_bis_amplicon_cori_op1r2,_bis_amplicon_cori_op1r2,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,0a7b8c70-04be-4355-90c5-198b973f1ea5,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-05-04_bis_amplicon_cori_op1r2,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-05-04_bis_amplicon_cori_op1r2,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-02-25,../../mnt/data/research_data/2022-02-25_bis_amplicon_cori_op1,2022-02-25_bis_amplicon_cori_op1,_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,55e05778-4992-4237-b9b5-6d08245b57df,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-02-25_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-02-25_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-06-02,../../mnt/data/research_data/2022-06-02_bis_amplicons_op3,2022-06-02_bis_amplicons_op3,_bis_amplicons_op3,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,1586632c-a78c-49e4-8fab-fa75f2330e77,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-06-02_bis_amplicons_op3,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-06-02_bis_amplicons_op3,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-02-24,../../mnt/data/research_data/2022-02-24_bis_amplicon_cori_op1,2022-02-24_bis_amplicon_cori_op1,_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,fa502832-ec02-46f2-a463-748d9cdfd252,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-02-24_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-02-24_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-03-17,../../mnt/data/research_data/2022-03-17_bis_amplicon_cori_op1r1,2022-03-17_bis_amplicon_cori_op1r1,_bis_amplicon_cori_op1r1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,51b4a0af-5565-4957-a31a-75022446a90d,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-03-17_bis_amplicon_cori_op1r1,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-03-17_bis_amplicon_cori_op1r1,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-12-05,../../mnt/data/research_data/2022-12-05_bisamp_colon93,2022-12-05_bisamp_colon93,_bisamp_colon93,woonbok colon,Woonbok colon,bisamp,CBIX,545f327f-3507-4104-926a-030ebf910ea3,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2021-07-28,../../mnt/data/research_data/2021-07-28_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,2021-07-28_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,woonbok colon norm tumor saliva,Woonbok colon norm tumor saliva,bisamp,CBIX,4ffd6d21-5628-4e97-bcfe-d4663090dd49,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-10-21,../../mnt/data/research_data/2022-10-21_bisamp_bloodsep_24samples_13mplex_micro,2022-10-21_bisamp_bloodsep_24samples_13mplex_micro,_bisamp_bloodsep_24samples_13mplex_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,6e96878d-8665-400e-bacd-be49abe4c485,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-11-18,../../mnt/data/research_data/2022-11-18_bisamp_bloodsep_3plex_micro,2022-11-18_bisamp_bloodsep_3plex_micro,_bisamp_bloodsep_3plex_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,aafaa015-b3d9-42df-8a86-6652c12b4664,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-10-12,../../mnt/data/research_data/2022-10-12_bisamp_bloodsep_micro,2022-10-12_bisamp_bloodsep_micro,_bisamp_bloodsep_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,d184b8da-2023-42c9-ac67-f6c681a71df7,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-11-01,../../mnt/data/research_data/2022-11-01_bisamp_bloodsep_3plex_micro,2022-11-01_bisamp_bloodsep_3plex_micro,_bisamp_bloodsep_3plex_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,66f4fc64-87da-49b9-97e6-9eead75c9db6,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2021-07-29,../../mnt/data/research_data/2021-07-29_bis_amplicon_cml30leuk66,2021-07-29_bis_amplicon_cml30leuk66,_bis_amplicon_cml30leuk66,woonbok 'cml aml blood,Woonbok 'CML AML blood,bisamp,CBIX,0c9bd255-d59a-4731-b363-f43bd11d0494,,,,,91b8775b-10c5-4040-8077-367771a0c4ae,Chronic Myeloid Leukemia (CML),Cancer,CML,,2021-07-29_bis_amplicon_cml30leuk66,Woonbok 'CML AML blood,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,Chronic Myeloid Leukemia (CML),CML,,cml,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2021-07-29,../../mnt/data/research_data/2021-07-29_bis_amplicon_cml30leuk66,2021-07-29_bis_amplicon_cml30leuk66,_bis_amplicon_cml30leuk66,woonbok 'cml aml blood,Woonbok 'CML AML blood,bisamp,CBIX,0c9bd255-d59a-4731-b363-f43bd11d0494,,,,,e1d3c89f-41ea-4b54-a53a-b1042ff0c007,Acute Myeloid Leukemia (AML),Cancer,AML,C3171,2021-07-29_bis_amplicon_cml30leuk66,Woonbok 'CML AML blood,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer,Acute Myeloid Leukemia (AML),AML,C3171,aml,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-12-05,../../mnt/data/research_data/2022-12-05_bisamp_colon93,2022-12-05_bisamp_colon93,_bisamp_colon93,woonbok colon,Woonbok colon,bisamp,CBIX,545f327f-3507-4104-926a-030ebf910ea3,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2021-07-28,../../mnt/data/research_data/2021-07-28_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,2021-07-28_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,woonbok colon norm tumor saliva,Woonbok colon norm tumor saliva,bisamp,CBIX,4ffd6d21-5628-4e97-bcfe-d4663090dd49,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-10-21,../../mnt/data/research_data/2022-10-21_bisamp_bloodsep_24samples_13mplex_micro,2022-10-21_bisamp_bloodsep_24samples_13mplex_micro,_bisamp_bloodsep_24samples_13mplex_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,6e96878d-8665-400e-bacd-be49abe4c485,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-11-18,../../mnt/data/research_data/2022-11-18_bisamp_bloodsep_3plex_micro,2022-11-18_bisamp_bloodsep_3plex_micro,_bisamp_bloodsep_3plex_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,aafaa015-b3d9-42df-8a86-6652c12b4664,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-10-12,../../mnt/data/research_data/2022-10-12_bisamp_bloodsep_micro,2022-10-12_bisamp_bloodsep_micro,_bisamp_bloodsep_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,d184b8da-2023-42c9-ac67-f6c681a71df7,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-11-01,../../mnt/data/research_data/2022-11-01_bisamp_bloodsep_3plex_micro,2022-11-01_bisamp_bloodsep_3plex_micro,_bisamp_bloodsep_3plex_micro,woonbok blood separated subpopulations,Woonbok blood separated subpopulations,bisamp,CBIX,66f4fc64-87da-49b9-97e6-9eead75c9db6,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,,,,,,,,,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
