date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description,jj_type,cbix1/2,folder_uuid
2024-03-19,../../../../mnt/data/research_data/2024-03-19_rrbs_mouse_peace,2024-03-19_rrbs_mouse_peace,_rrbs_mouse_peace,,,,CBIX,169a3b51-4909-4ef6-9811-34ed617cddea
2022-04-11,../../../../mnt/data/research_data/2022-04-11_10XsnRNAseq_mouse_brain,2022-04-11_10XsnRNAseq_mouse_brain,_10xsnrnaseq_mouse_brain,jj mouse frozen brain,JJ mouse frozen brain,scRNA-seq,CBIX,9b85e7ee-a34d-4f58-b923-ee60670c1a57
2022-05-03,../../../../mnt/data/research_data/2022-05-03_mouse_brain_snRNAseq,2022-05-03_mouse_brain_snRNAseq,_mouse_brain_snrnaseq,jj mouse frozen brain,JJ mouse frozen brain,scRNA-seq,CBIX,4e5de8b9-b1de-42a3-ad1a-a59cd4d835c2
2023-01-10,../../../../mnt/data/research_data/2023-01-10_rnaseq_human_jian2,2023-01-10_rnaseq_human_jian2,_rnaseq_human_jian2,jian huang wt spry3ko spry4ko gilterinib,Jian Huang WT SPRY3KO SPRY4KO Gilterinib,RNA-seq,CBIX,c6dc6d6b-f088-4a43-b08b-8ce5644d7598
2021-08-26,../../../../mnt/data/research_data/2021-08-26_novaseq_rrbs_mouse_peace_himani,2021-08-26_novaseq_rrbs_mouse_peace_himani,_novaseq_rrbs_mouse_peace_himani,peace mouse gf aging,Peace mouse gf aging,RRBS,CBIX,e4ef109b-605b-4573-afb3-0f9763b349ee
2022-05-11,../../../../mnt/data/research_data/2022-05-11_rrbs_129svev_aging_bac_mouse_colon_peace_miseq_nano,2022-05-11_rrbs_129svev_aging_bac_mouse_colon_peace_miseq_nano,_rrbs_129svev_aging_bac_mouse_colon_peace_miseq_nano,peace aging mouse colon,Peace aging mouse colon,RRBS,CBIX,8d456602-3fd2-4fef-958f-b98f9c37a5f6
2023-01-21,../../../../mnt/data/research_data/2023-01-21_sc_atac_mouse_intestine,2023-01-21_sc_atac_mouse_intestine,_sc_atac_mouse_intestine,himani mouse intestine,Himani mouse intestine,scATAC-seq,CBIX,93ede2d5-cca5-47c4-9120-050f24d90762
2023-05-29,../../../../mnt/data/research_data/2023-05-29_rnaseq_mouse_intestine_himani,2023-05-29_rnaseq_mouse_intestine_himani,_rnaseq_mouse_intestine_himani,,,,CBIX,e31b4613-7124-4d00-b5d8-5388cd3020d4
2024-04-05,../../../../mnt/data/research_data/2024-04-05_rnaseq_human_yanting_shumei_song,2024-04-05_rnaseq_human_yanting_shumei_song,_rnaseq_human_yanting_shumei_song,,,,CBIX,03ec0913-23fd-479a-86a9-bf6a7b7dadee
2023-01-19,../../../../mnt/data/research_data/2023-01-19_crispr_zhaorui_human,2023-01-19_crispr_zhaorui_human,_crispr_zhaorui_human,zhaorui human nalm13 nalm14 wt p53ko,Zhaorui human NALM13 NALM14 wt p53ko,CRISPR,CBIX,18355b8d-49c3-4a48-8f0d-7224b19165d8
2023-02-17,../../../../mnt/data/research_data/2023-02-17_bisamp_mpb_x15,2023-02-17_bisamp_mpb_x15,_bisamp_mpb_x15,jj mpb 15 targets,JJ MPB 15 targets,bisamp,CBIX,8bee03b5-1d0a-4ba5-80ff-35d05d29650f
2019-06-18,../../../../mnt/data/research_data/2019-06-18_rrbs37_hyeseon_mouse_endo_kidney,2019-06-18_rrbs37_hyeseon_mouse_endo_kidney,_rrbs37_hyeseon_mouse_endo_kidney,"hyeseon mouse endothelial cells, kidney, young, old","HyeSeon mouse endothelial cells, kidney, young, old",RRBS,CBIX,ce89e4e1-273d-477e-9ee1-0d71d217b3f7
2020-01-03,../../../../mnt/data/research_data/2020-01-03_novogene_rrbs_43-45_aging_mouse,2020-01-03_novogene_rrbs_43-45_aging_mouse,_novogene_rrbs_43-45_aging_mouse,hyeseon mouse aging blood heart brain liver lung kidney skeletal muscle,HyeSeon mouse aging blood heart brain liver lung kidney skeletal muscle,RRBS,CBIX,5853c90a-a4ee-45f4-b98f-15850df9cade
2022-12-05,../../../../mnt/data/research_data/2022-12-05_bisamp_colon93,2022-12-05_bisamp_colon93,_bisamp_colon93,woonbok colon,Woonbok colon,bisamp,CBIX,7c255596-90a6-4f76-b926-f64ec176733a
2020-08-22,../../../../mnt/data/research_data/2020-08-22_human_bisulfite_amplicon_woonbok,2020-08-22_human_bisulfite_amplicon_woonbok,_human_bisulfite_amplicon_woonbok,woonbok ninds bisulfite amplicon pcr 6 loci,Woonbok NINDS bisulfite amplicon PCR 6 loci,bisamp,CBIX,90e0e4de-aa69-4830-8b17-32726bd5e26a
2021-08-26,../../../../mnt/data/research_data/2021-08-26_novaseq_YB5,2021-08-26_novaseq_YB5,_novaseq_yb5,jj yb5,JJ YB5,WGS,CBIX,690e1234-1340-44ef-96e6-04b0b5758621
2023-03-16,../../../../mnt/data/research_data/2023-03-16_crispr_clones_jian,2023-03-16_crispr_clones_jian,_crispr_clones_jian,,,,CBIX,331398a3-8c2e-4444-ab09-cafb3cf20928
2022-04-06,../../../../mnt/data/research_data/2022-04-06_bis_amplicon_cori_op2,2022-04-06_bis_amplicon_cori_op2,_bis_amplicon_cori_op2,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,9870987d-18ca-46e7-8c22-0aafe9773e72
2023-05-19,../../../../mnt/data/research_data/2023-05-19_rrbs_mouse_himani,2023-05-19_rrbs_mouse_himani,_rrbs_mouse_himani,,,,CBIX,97b32e5e-9133-44de-84fe-998a0c3cf755
2022-10-11,../../../../mnt/data/research_data/2022-10-11_RNAseq_YB5_almedia,2022-10-11_RNAseq_YB5_almedia,_rnaseq_yb5_almedia,almedia yb5 dmso dac bsj dbet,Almedia YB5 dmso dac bsj dbet,RNA-seq,CBIX,a41e5944-81ff-45d3-8892-c528ec900cf4
2023-06-11,../../../../mnt/data/research_data/2023-06-11_bis_amplicon_cuh4,2023-06-11_bis_amplicon_cuh4,_bis_amplicon_cuh4,,,,CBIX,f0961688-8ad8-40b6-acf0-841fd001ed70
2019-08-29,../../../../mnt/data/research_data/2019-08-29_dream133_peace_human_crc,2019-08-29_dream133_peace_human_crc,_dream133_peace_human_crc,peace human colon tumors and adjacent normal tissue,Peace human colon tumors and adjacent normal tissue,DREAM,CBIX,fa1ed267-ec6e-41e6-8e1a-651302857021
2019-10-02,../../../../mnt/data/research_data/2019-10-02_rrbs35_novogene,2019-10-02_rrbs35_novogene,_rrbs35_novogene,woonbok ninds aging blood controls,Woonbok NINDS aging blood controls,RRBS,CBIX,a0cdedc7-bbca-492d-a5f5-c00ac10115b7
2024-01-02,../../../../mnt/data/research_data/2024-01-02_multiome_bcl_mouse_himani,2024-01-02_multiome_bcl_mouse_himani,_multiome_bcl_mouse_himani,,,,CBIX,71a4dc31-9761-4dea-904e-4d59366b6a4a
2021-07-28,../../../../mnt/data/research_data/2021-07-28_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,2021-07-28_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,_bis_amplicon_cr92_colon_norm_tumor_e_saliva_aging,woonbok colon norm tumor saliva,Woonbok colon norm tumor saliva,bisamp,CBIX,5b86fb83-752e-4cd5-93d2-776f0ba4bab1
2019-07-17,../../../../mnt/data/research_data/2019-07-17_16S_redownload_peace_colon_cancer,2019-07-17_16S_redownload_peace_colon_cancer,_16s_redownload_peace_colon_cancer,peace human colon tumors and adjacent normal tissue,Peace human colon tumors and adjacent normal tissue,16S,CBIX,96163745-96de-4d0d-8cf5-e3acf8cfac24
2022-11-18,../../../../mnt/data/research_data/2022-11-18_snATACseq_human_brain,2022-11-18_snATACseq_human_brain,_snatacseq_human_brain,jj human brain,JJ human brain,scATAC-seq,CBIX,e1e817a3-ac82-4046-a8c8-4b7d5dd900ea
Null,../../../../mnt/data/research_data/230418_M04817_0069_000000000-GGRF5,230418_M04817_0069_000000000-GGRF5,230418_m04817_0069_000000000-ggrf5,,,,CBIX,9f33df86-df1a-4251-95a6-a972220f66d3
2019-06-18,../../../../mnt/data/research_data/2019-06-18_rrbs36_hyeseon_mouse_heart_blood,2019-06-18_rrbs36_hyeseon_mouse_heart_blood,_rrbs36_hyeseon_mouse_heart_blood,"hyeseon mouse heart, blood, young, old","HyeSeon mouse heart, blood, young, old",RRBS,CBIX,ed97843b-ad4e-4d54-9326-881f6e1eaa2a
2022-05-10,../../../../mnt/data/research_data/2022-05-10_ying_wang_atacseq,2022-05-10_ying_wang_atacseq,_ying_wang_atacseq,yi zhang mouse wt id3 ko,Yi Zhang mouse WT ID3 KO,ATAC-seq,CBIX,e524c35a-e429-4ee2-b0af-30f41df0cc9e
2021-04-16,../../../../mnt/data/research_data/2021-04-16_bis_amplicons_woonbok,2021-04-16_bis_amplicons_woonbok,_bis_amplicons_woonbok,woonbok ninds cord blood,Woonbok NINDS cord blood,bisamp,CBIX,91c5e347-a520-4e6e-a9df-91c623e62993
2020-11-18,../../../../mnt/data/research_data/2020-11-18_hWGS_12878_NA_FFPE_Matt,2020-11-18_hWGS_12878_NA_FFPE_Matt,_hwgs_12878_na_ffpe_matt,matt na12878 gdna and formalin fixed,Matt NA12878 gDNA and formalin fixed,WGS,CBIX,44e61b87-6e44-4362-96ae-15ae954a3e59
2023-01-17,../../../../mnt/data/research_data/2023-01-17_scRNAseq_mouse_jian_novogene,2023-01-17_scRNAseq_mouse_jian_novogene,_scrnaseq_mouse_jian_novogene,jian huang mouse hsc mmp young old,Jian Huang mouse HSC MMP young old,scRNA-seq,CBIX,2f948e29-cf41-4182-bd6b-496e14ab0372
2023-12-28,../../../../mnt/data/research_data/2023-12-28_rnaseq_lcl_bdnf_snv,2023-12-28_rnaseq_lcl_bdnf_snv,_rnaseq_lcl_bdnf_snv,,,,CBIX,27682f6e-f7c6-4b8e-92b7-3b17cc332751
2023-03-03,../../../../mnt/data/research_data/2023-03-03_bisamp_x15_cuh2,2023-03-03_bisamp_x15_cuh2,_bisamp_x15_cuh2,,,,CBIX,f7001173-3ef6-478d-affd-6fa217c9c2e0
2022-05-04,../../../../mnt/data/research_data/2022-05-04_bis_amplicon_cori_op1r2,2022-05-04_bis_amplicon_cori_op1r2,_bis_amplicon_cori_op1r2,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,1ef2a602-0dfb-44ce-8e5f-a974c666ee9d
2020-08-13,../../../../mnt/data/research_data/2020-08-13_jian_RNAseq_LC-Lumina,2020-08-13_jian_RNAseq_LC-Lumina,_jian_rnaseq_lc-lumina,jian huang mouse,Jian Huang mouse,RNA-seq,CBIX,7e9bd7d6-12c2-4418-931a-59c5901dd06a
2020-03-30,../../../../mnt/data/research_data/2020-03-30_italo_tempera_lab_rnaseq,2020-03-30_italo_tempera_lab_rnaseq,_italo_tempera_lab_rnaseq,italo tempera human controlkoac inhibitor sg inhibitor,Italo Tempera human controlkoac inhibitor sg inhibitor,RNA-seq,CBIX,da03df61-ecfb-4e65-9906-f47fa8a6ddb0
2023-02-07,../../../../mnt/data/research_data/2023-02-07_bisamp_23targets_cuh,2023-02-07_bisamp_23targets_cuh,_bisamp_23targets_cuh,jj 23 targets cooper,JJ 23 targets Cooper,bisamp,CBIX,2864e61c-c62a-4394-872d-a3c146894493
2023-05-23,../../../../mnt/data/research_data/2023-05-23_scRNA_multiome_human_brain,2023-05-23_scRNA_multiome_human_brain,_scrna_multiome_human_brain,,,,CBIX,f30b9daa-3ddc-49d9-9267-53c4dd7afec4
2019-10-22,../../../../mnt/data/research_data/2019-10-22_rrbs_mouse_aging_rrbs41-42_himani_peace_genewiz,2019-10-22_rrbs_mouse_aging_rrbs41-42_himani_peace_genewiz,_rrbs_mouse_aging_rrbs41-42_himani_peace_genewiz,himani peace mouse colon spleen liver lung br skm,Himani Peace mouse colon spleen liver lung br skm,RRBS,CBIX,4806258f-a2fd-41c0-b203-e62e93fd850f
2024-04-09,../../../../mnt/data/research_data/2024-04-09_atacseq_human_yanting_shumei,2024-04-09_atacseq_human_yanting_shumei,_atacseq_human_yanting_shumei,,,,CBIX,a80d4cf8-991f-4819-9cda-a6b6c93387d1
2020-06-12,../../../../mnt/data/research_data/2020-06-12_rrbs50-51-52_cori_human,2020-06-12_rrbs50-51-52_cori_human,_rrbs50-51-52_cori_human,jj human cori blood and saliva,JJ human CORI blood and saliva,RRBS,CBIX,aae4d5d9-6a4e-440e-b6f6-74ee93b7304b
2021-02-10,../../../../mnt/data/research_data/2021-02-10_16S_human_coloncancer_batch2-4_Peace_genewiz,2021-02-10_16S_human_coloncancer_batch2-4_Peace_genewiz,_16s_human_coloncancer_batch2-4_peace_genewiz,peace human colon tumors and adjacent normal tissue,Peace human colon tumors and adjacent normal tissue,16S,CBIX,fc16d6fe-8e44-49e9-9d63-d0bb72ef9ca7
2019-03-28,../../../../mnt/data/research_data/2019-03-28_rrbs32_himani_kit-failure,2019-03-28_rrbs32_himani_kit-failure,_rrbs32_himani_kit-failure,himani mouse intestine and colon samples,Himani mouse intestine and colon samples,RRBS,CBIX,e4ba51f0-6462-4725-9e8a-6e52ab616008
2020-12-03,../../../../mnt/data/research_data/2020-12-03_rrbs58-59_woonbok_gu114,2020-12-03_rrbs58-59_woonbok_gu114,_rrbs58-59_woonbok_gu114,woonbok gu114 trial human cd8 lymphocytes,Woonbok GU114 trial human CD8 lymphocytes,RRBS,CBIX,af22f794-ca19-4009-9e5f-9c3c0aee82d8
2023-05-07,../../../../mnt/data/research_data/2023-05-07_zhaorui_znf251_ko_gRNA3,2023-05-07_zhaorui_znf251_ko_gRNA3,_zhaorui_znf251_ko_grna3,,,,CBIX,ae9dcb8a-1ee6-4659-ab59-51f7fdc49c4e
2019-06-25,../../../../mnt/data/research_data/2019-06-25_gencove_CORI,2019-06-25_gencove_CORI,_gencove_cori,laura cori samples,Laura CORI samples,low pass WGS,CBIX,3ceedd79-399c-43e7-a4d8-0100336b7eb9
2022-02-25,../../../../mnt/data/research_data/2022-02-25_bis_amplicon_cori_op1,2022-02-25_bis_amplicon_cori_op1,_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,157d6770-f5b3-47bd-9bed-1f447b1dbc4d
2019-07-22,../../../../mnt/data/research_data/2019-07-22_sc_whelan_mouse_esophagus,2019-07-22_sc_whelan_mouse_esophagus,_sc_whelan_mouse_esophagus,kelly whelan young old mouse esophagus,Kelly Whelan young old mouse esophagus,scRNA-seq,CBIX,357376c3-1279-454b-a43d-cf89949586fd
2020-05-07,../../../../mnt/data/research_data/2020-05-07_sc_10x_yi_zhang,2020-05-07_sc_10x_yi_zhang,_sc_10x_yi_zhang,yi zhang mouse ikoi ikos wti wts,Yi Zhang mouse IKOI IKOs WTI WTs,scRNA-seq,CBIX,29d0a043-0638-470e-9160-d852c576eec5
2020-03-27,../../../../mnt/data/research_data/2020-03-27_novogene_dream_human_peace,2020-03-27_novogene_dream_human_peace,_novogene_dream_human_peace,peace human colon tumors and adjacent normal tissue,Peace human colon tumors and adjacent normal tissue,DREAM,CBIX,60858eaf-f3d3-409a-b468-c92f70f2011c
2019-09-06,../../../../mnt/data/research_data/retrieved_2019-09-06_gm12878_meth,retrieved_2019-09-06_gm12878_meth,retrieved__gm12878_meth,,,,CBIX,d47e3a4d-055a-4dee-b7fa-73895a2042a9
2023-06-27,../../../../mnt/data/research_data/2023-06-27_cut_run_zhaorui,2023-06-27_cut_run_zhaorui,_cut_run_zhaorui,,,,CBIX,3c750fa5-f368-4089-bfab-c523560b5f85
2021-12-07,../../../../mnt/data/research_data/2021-12-07_mouse_rrbs_peace,2021-12-07_mouse_rrbs_peace,_mouse_rrbs_peace,peace mouse gf aging,Peace mouse gf aging,RRBS,CBIX,da706a24-0055-4de2-bf55-65bbcecd36e5
2023-05-18,../../../../mnt/data/research_data/2023-05-18_crispr3_zhaorui,2023-05-18_crispr3_zhaorui,_crispr3_zhaorui,,,,CBIX,1d1ae602-de6d-42c1-9327-b2e68a3ba5e1
2021-11-03,../../../../mnt/data/research_data/2021-11-03_bis_amplicon_blood_saliva,2021-11-03_bis_amplicon_blood_saliva,_bis_amplicon_blood_saliva,woonbok cooper blood,Woonbok Cooper blood,bisamp,CBIX,9bf9ee0f-ac36-433d-88ce-501e109d4f74
2022-05-09,../../../../mnt/data/research_data/2022-05-09_rnaseq_mouse_cooper_gigi,2022-05-09_rnaseq_mouse_cooper_gigi,_rnaseq_mouse_cooper_gigi,cooper mouse,Cooper mouse,RNA-seq,CBIX,330f3def-d73a-48e0-a3ae-6a2bb2bef949
2020-11-19,../../../../mnt/data/research_data/2020-11-19_cori_brain_mrna_jj,2020-11-19_cori_brain_mrna_jj,_cori_brain_mrna_jj,jj cori human brain,JJ CORI human brain,RNA-seq,CBIX,beab368e-5709-4111-a87a-99455db7de90
2023-06-10,../../../../mnt/data/research_data/2023-06-10_miseq_cdk5r1_crispr_diego,2023-06-10_miseq_cdk5r1_crispr_diego,_miseq_cdk5r1_crispr_diego,,,,CBIX,9dabf039-59ed-4675-929e-105feaf9f60c
2019-09-30,../../../../mnt/data/research_data/2019-09-30_rrbs40_novogene_human_GU114,2019-09-30_rrbs40_novogene_human_GU114,_rrbs40_novogene_human_gu114,woonbok gu114 trial human cd8 lymphocytes,Woonbok GU114 trial human CD8 lymphocytes,RRBS,CBIX,42cc4696-bc07-4379-ac0e-cbbb9ff081a1
2023-12-30,../../../../mnt/data/research_data/2023-12-30_wes_human_8_outliers,2023-12-30_wes_human_8_outliers,_wes_human_8_outliers,,,,CBIX,eaf4e1bb-9d92-4cf1-9cb8-d4a78556090c
2021-08-23,../../../../mnt/data/research_data/2021-08-23_dnmt3a,2021-08-23_dnmt3a,_dnmt3a,jj dnmt3a blood saliva,JJ DNMT3A blood saliva,ampliseq,CBIX,420a54ed-7037-49d8-8f90-af058399ec76
2022-09-22,../../../../mnt/data/research_data/2022-09-22_cpmc2_merged_bams,2022-09-22_cpmc2_merged_bams,_cpmc2_merged_bams,woonbok saliva cpmc,Woonbok saliva CPMC,bisamp,CBIX,2a833b3f-6ca5-427e-970e-9c50e2ca413d
2023-03-13,../../../../mnt/data/research_data/2023-03-13_bisamp_x15_cuh123_combined_summaries,2023-03-13_bisamp_x15_cuh123_combined_summaries,_bisamp_x15_cuh123_combined_summaries,,,,CBIX,2a504e43-6f4a-48f1-806e-58944ad85646
2021-08-27,../../../../mnt/data/research_data/2021-08-27_ampliseq,2021-08-27_ampliseq,_ampliseq,jj dnmt3a tet2 asxl1 blood saliva,JJ DNMT3A TET2 ASXL1 blood saliva,ampliseq,CBIX,f9347d3a-ab10-4c74-bb4d-0ed9e3bfb0b0
2023-04-19,../../../../mnt/data/research_data/2023-04-19_sn_atacseq_human_brain_omics,2023-04-19_sn_atacseq_human_brain_omics,_sn_atacseq_human_brain_omics,,,,CBIX,c0bb3a5c-412b-49b2-a73b-193e02335300
2023-10-20,../../../../mnt/data/research_data/2023-10-20_rnaseq_human_shoghag,2023-10-20_rnaseq_human_shoghag,_rnaseq_human_shoghag,,,,CBIX,40cd9bcc-3f24-47e5-a83d-fa1b893c0677
2023-02-23,../../../../mnt/data/research_data/2023-02-23_atavistik,2023-02-23_atavistik,_atavistik,"jj atavistik bio targeted seq gm00538 dlat, pdha1, pdhb","JJ Atavistik Bio targeted seq GM00538 DLAT, PDHA1, PDHB",ampliseq,CBIX,f0fec7cc-d3a4-470b-8d74-b4c1423f62b8
2023-03-01,../../../../mnt/data/research_data/2023-03-01_rnaseq_yb5_almedia,2023-03-01_rnaseq_yb5_almedia,_rnaseq_yb5_almedia,,,,CBIX,148e75e3-b99b-4001-8721-86580ca004c3
2021-03-29,../../../../mnt/data/research_data/2021-03-29_rrbs61-65_peace_hg_himani_mm,2021-03-29_rrbs61-65_peace_hg_himani_mm,_rrbs61-65_peace_hg_himani_mm,himani peace aging mice intestine colon himani | peace gf mice,Himani Peace aging mice intestine colon Himani | Peace gf mice,RRBS,CBIX,34fd2e58-20ea-441c-8339-c760a8160e7b
2021-07-03,../../../../mnt/data/research_data/2021-07-03_bis_amplicon_blood_aging,2021-07-03_bis_amplicon_blood_aging,_bis_amplicon_blood_aging,woonbok ninds,Woonbok NINDS,bisamp,CBIX,37b9f28c-dfa3-486c-ba08-145575a9521b
2023-05-05,../../../../mnt/data/research_data/2023-05-05_bisamp_x15_cuh_remaining,2023-05-05_bisamp_x15_cuh_remaining,_bisamp_x15_cuh_remaining,,,,CBIX,5493d4e1-66ed-4f55-93ad-2b6e3e88968d
2022-12-13,../../../../mnt/data/research_data/2022-12-13_rnaseq_human_Jian,2022-12-13_rnaseq_human_Jian,_rnaseq_human_jian,jian huang human wt spry3 ko gilterinib,Jian Huang human WT SPRY3 KO gilterinib,RNA-seq,CBIX,60e33065-a057-48c5-a0e7-c9bf016608ac
2023-04-14,../../../../mnt/data/research_data/2023-04-14_bisamp_x15_colon2,2023-04-14_bisamp_x15_colon2,_bisamp_x15_colon2,,,,CBIX,d11d0b2b-831f-4dd3-a284-0a15af2b51d1
2022-10-03,../../../../mnt/data/research_data/2022-10-03_sc_atac_seq_human_brain_miseq_nano,2022-10-03_sc_atac_seq_human_brain_miseq_nano,_sc_atac_seq_human_brain_miseq_nano,jj human brain,JJ human brain,scATAC-seq,CBIX,8d29a59e-95f8-49ed-bdc4-5d588f3c558a
2022-05-06,../../../../mnt/data/research_data/2022-05-06_arsa_mplex2,2022-05-06_arsa_mplex2,_arsa_mplex2,jj arsa gain therapeutics,JJ ARSA Gain Therapeutics,ampliseq,CBIX,6ae93e56-ffde-43a3-9fe9-d49f5a0f4c08
